JoinField,JoinField_alt,Ward/Township,Precinct,Toni Preckwinkle,Brendan Reilly,Total Voters
CITY OF CHICAGO:WARD 20 PRECINCT 10,CITY OF CHICAGO:WARD 20 PRECINCT 10,20,10,216,41,257
CITY OF CHICAGO:WARD 20 PRECINCT 11,CITY OF CHICAGO:WARD 20 PRECINCT 11,20,11,159,53,212
CITY OF CHICAGO:WARD 20 PRECINCT 12,CITY OF CHICAGO:WARD 20 PRECINCT 12,20,12,15,10,25
CITY OF CHICAGO:WARD 20 PRECINCT 13,CITY OF CHICAGO:WARD 20 PRECINCT 13,20,13,416,57,473
CITY OF CHICAGO:WARD 20 PRECINCT 14,CITY OF CHICAGO:WARD 20 PRECINCT 14,20,14,280,32,312
CITY OF CHICAGO:WARD 20 PRECINCT 15,CITY OF CHICAGO:WARD 20 PRECINCT 15,20,15,181,45,226
CITY OF CHICAGO:WARD 20 PRECINCT 16,CITY OF CHICAGO:WARD 20 PRECINCT 16,20,16,220,43,263
CITY OF CHICAGO:WARD 20 PRECINCT 17,CITY OF CHICAGO:WARD 20 PRECINCT 17,20,17,248,50,298
CITY OF CHICAGO:WARD 20 PRECINCT 18,CITY OF CHICAGO:WARD 20 PRECINCT 18,20,18,321,50,371
CITY OF CHICAGO:WARD 20 PRECINCT 19,CITY OF CHICAGO:WARD 20 PRECINCT 19,20,19,179,43,222
CITY OF CHICAGO:WARD 20 PRECINCT 20,CITY OF CHICAGO:WARD 20 PRECINCT 20,20,20,285,51,336
CITY OF CHICAGO:WARD 20 PRECINCT 21,CITY OF CHICAGO:WARD 20 PRECINCT 21,20,21,328,61,389
CITY OF CHICAGO:WARD 20 PRECINCT 22,CITY OF CHICAGO:WARD 20 PRECINCT 22,20,22,270,64,334
CITY OF CHICAGO:WARD 20 PRECINCT 23,CITY OF CHICAGO:WARD 20 PRECINCT 23,20,23,95,30,125
CITY OF CHICAGO:WARD 21 PRECINCT 01,CITY OF CHICAGO:WARD 21 PRECINCT 01,21,1,319,69,388
CITY OF CHICAGO:WARD 21 PRECINCT 02,CITY OF CHICAGO:WARD 21 PRECINCT 02,21,2,113,23,136
CITY OF CHICAGO:WARD 21 PRECINCT 03,CITY OF CHICAGO:WARD 21 PRECINCT 03,21,3,360,81,441
CITY OF CHICAGO:WARD 21 PRECINCT 04,CITY OF CHICAGO:WARD 21 PRECINCT 04,21,4,286,63,349
CITY OF CHICAGO:WARD 21 PRECINCT 05,CITY OF CHICAGO:WARD 21 PRECINCT 05,21,5,286,71,357
CITY OF CHICAGO:WARD 21 PRECINCT 06,CITY OF CHICAGO:WARD 21 PRECINCT 06,21,6,239,54,293
CITY OF CHICAGO:WARD 21 PRECINCT 07,CITY OF CHICAGO:WARD 21 PRECINCT 07,21,7,395,76,471
CITY OF CHICAGO:WARD 21 PRECINCT 08,CITY OF CHICAGO:WARD 21 PRECINCT 08,21,8,333,78,411
CITY OF CHICAGO:WARD 21 PRECINCT 09,CITY OF CHICAGO:WARD 21 PRECINCT 09,21,9,110,23,133
CITY OF CHICAGO:WARD 21 PRECINCT 10,CITY OF CHICAGO:WARD 21 PRECINCT 10,21,10,334,90,424
CITY OF CHICAGO:WARD 21 PRECINCT 11,CITY OF CHICAGO:WARD 21 PRECINCT 11,21,11,368,79,447
CITY OF CHICAGO:WARD 21 PRECINCT 12,CITY OF CHICAGO:WARD 21 PRECINCT 12,21,12,120,28,148
CITY OF CHICAGO:WARD 21 PRECINCT 13,CITY OF CHICAGO:WARD 21 PRECINCT 13,21,13,239,57,296
CITY OF CHICAGO:WARD 21 PRECINCT 14,CITY OF CHICAGO:WARD 21 PRECINCT 14,21,14,426,97,523
CITY OF CHICAGO:WARD 21 PRECINCT 15,CITY OF CHICAGO:WARD 21 PRECINCT 15,21,15,349,95,444
CITY OF CHICAGO:WARD 21 PRECINCT 16,CITY OF CHICAGO:WARD 21 PRECINCT 16,21,16,351,74,425
CITY OF CHICAGO:WARD 21 PRECINCT 17,CITY OF CHICAGO:WARD 21 PRECINCT 17,21,17,273,46,319
CITY OF CHICAGO:WARD 21 PRECINCT 18,CITY OF CHICAGO:WARD 21 PRECINCT 18,21,18,365,63,428
CITY OF CHICAGO:WARD 21 PRECINCT 19,CITY OF CHICAGO:WARD 21 PRECINCT 19,21,19,285,82,367
CITY OF CHICAGO:WARD 21 PRECINCT 20,CITY OF CHICAGO:WARD 21 PRECINCT 20,21,20,242,61,303
CITY OF CHICAGO:WARD 21 PRECINCT 21,CITY OF CHICAGO:WARD 21 PRECINCT 21,21,21,403,74,477
CITY OF CHICAGO:WARD 21 PRECINCT 22,CITY OF CHICAGO:WARD 21 PRECINCT 22,21,22,455,102,557
CITY OF CHICAGO:WARD 21 PRECINCT 23,CITY OF CHICAGO:WARD 21 PRECINCT 23,21,23,267,77,344
CITY OF CHICAGO:WARD 21 PRECINCT 24,CITY OF CHICAGO:WARD 21 PRECINCT 24,21,24,263,64,327
CITY OF CHICAGO:WARD 21 PRECINCT 25,CITY OF CHICAGO:WARD 21 PRECINCT 25,21,25,178,55,233
CITY OF CHICAGO:WARD 21 PRECINCT 26,CITY OF CHICAGO:WARD 21 PRECINCT 26,21,26,241,61,302
CITY OF CHICAGO:WARD 21 PRECINCT 27,CITY OF CHICAGO:WARD 21 PRECINCT 27,21,27,305,59,364
CITY OF CHICAGO:WARD 21 PRECINCT 28,CITY OF CHICAGO:WARD 21 PRECINCT 28,21,28,314,84,398
CITY OF CHICAGO:WARD 21 PRECINCT 29,CITY OF CHICAGO:WARD 21 PRECINCT 29,21,29,332,84,416
CITY OF CHICAGO:WARD 22 PRECINCT 01,CITY OF CHICAGO:WARD 22 PRECINCT 01,22,1,102,20,122
CITY OF CHICAGO:WARD 22 PRECINCT 02,CITY OF CHICAGO:WARD 22 PRECINCT 02,22,2,64,9,73
CITY OF CHICAGO:WARD 22 PRECINCT 03,CITY OF CHICAGO:WARD 22 PRECINCT 03,22,3,114,44,158
CITY OF CHICAGO:WARD 22 PRECINCT 04,CITY OF CHICAGO:WARD 22 PRECINCT 04,22,4,72,30,102
CITY OF CHICAGO:WARD 22 PRECINCT 05,CITY OF CHICAGO:WARD 22 PRECINCT 05,22,5,172,57,229
CITY OF CHICAGO:WARD 22 PRECINCT 06,CITY OF CHICAGO:WARD 22 PRECINCT 06,22,6,80,36,116
CITY OF CHICAGO:WARD 22 PRECINCT 07,CITY OF CHICAGO:WARD 22 PRECINCT 07,22,7,100,40,140
CITY OF CHICAGO:WARD 22 PRECINCT 08,CITY OF CHICAGO:WARD 22 PRECINCT 08,22,8,102,41,143
CITY OF CHICAGO:WARD 22 PRECINCT 09,CITY OF CHICAGO:WARD 22 PRECINCT 09,22,9,128,47,175
CITY OF CHICAGO:WARD 22 PRECINCT 10,CITY OF CHICAGO:WARD 22 PRECINCT 10,22,10,123,51,174
CITY OF CHICAGO:WARD 22 PRECINCT 11,CITY OF CHICAGO:WARD 22 PRECINCT 11,22,11,147,69,216
CITY OF CHICAGO:WARD 22 PRECINCT 12,CITY OF CHICAGO:WARD 22 PRECINCT 12,22,12,88,34,122
CITY OF CHICAGO:WARD 22 PRECINCT 13,CITY OF CHICAGO:WARD 22 PRECINCT 13,22,13,127,49,176
CITY OF CHICAGO:WARD 22 PRECINCT 14,CITY OF CHICAGO:WARD 22 PRECINCT 14,22,14,95,41,136
CITY OF CHICAGO:WARD 22 PRECINCT 15,CITY OF CHICAGO:WARD 22 PRECINCT 15,22,15,62,25,87
CITY OF CHICAGO:WARD 22 PRECINCT 16,CITY OF CHICAGO:WARD 22 PRECINCT 16,22,16,103,91,194
CITY OF CHICAGO:WARD 22 PRECINCT 17,CITY OF CHICAGO:WARD 22 PRECINCT 17,22,17,62,15,77
CITY OF CHICAGO:WARD 22 PRECINCT 18,CITY OF CHICAGO:WARD 22 PRECINCT 18,22,18,149,27,176
CITY OF CHICAGO:WARD 22 PRECINCT 19,CITY OF CHICAGO:WARD 22 PRECINCT 19,22,19,153,90,243
CITY OF CHICAGO:WARD 23 PRECINCT 01,CITY OF CHICAGO:WARD 23 PRECINCT 01,23,1,50,72,122
CITY OF CHICAGO:WARD 23 PRECINCT 02,CITY OF CHICAGO:WARD 23 PRECINCT 02,23,2,91,117,208
CITY OF CHICAGO:WARD 23 PRECINCT 03,CITY OF CHICAGO:WARD 23 PRECINCT 03,23,3,52,84,136
CITY OF CHICAGO:WARD 23 PRECINCT 04,CITY OF CHICAGO:WARD 23 PRECINCT 04,23,4,37,50,87
CITY OF CHICAGO:WARD 23 PRECINCT 05,CITY OF CHICAGO:WARD 23 PRECINCT 05,23,5,63,91,154
CITY OF CHICAGO:WARD 23 PRECINCT 06,CITY OF CHICAGO:WARD 23 PRECINCT 06,23,6,48,49,97
CITY OF CHICAGO:WARD 23 PRECINCT 07,CITY OF CHICAGO:WARD 23 PRECINCT 07,23,7,65,80,145
CITY OF CHICAGO:WARD 23 PRECINCT 08,CITY OF CHICAGO:WARD 23 PRECINCT 08,23,8,53,78,131
CITY OF CHICAGO:WARD 23 PRECINCT 09,CITY OF CHICAGO:WARD 23 PRECINCT 09,23,9,109,124,233
CITY OF CHICAGO:WARD 23 PRECINCT 10,CITY OF CHICAGO:WARD 23 PRECINCT 10,23,10,116,118,234
CITY OF CHICAGO:WARD 23 PRECINCT 11,CITY OF CHICAGO:WARD 23 PRECINCT 11,23,11,61,52,113
CITY OF CHICAGO:WARD 23 PRECINCT 12,CITY OF CHICAGO:WARD 23 PRECINCT 12,23,12,78,63,141
CITY OF CHICAGO:WARD 23 PRECINCT 13,CITY OF CHICAGO:WARD 23 PRECINCT 13,23,13,170,95,265
CITY OF CHICAGO:WARD 23 PRECINCT 14,CITY OF CHICAGO:WARD 23 PRECINCT 14,23,14,109,67,176
CITY OF CHICAGO:WARD 23 PRECINCT 15,CITY OF CHICAGO:WARD 23 PRECINCT 15,23,15,114,71,185
CITY OF CHICAGO:WARD 23 PRECINCT 16,CITY OF CHICAGO:WARD 23 PRECINCT 16,23,16,72,39,111
CITY OF CHICAGO:WARD 23 PRECINCT 17,CITY OF CHICAGO:WARD 23 PRECINCT 17,23,17,104,53,157
CITY OF CHICAGO:WARD 23 PRECINCT 18,CITY OF CHICAGO:WARD 23 PRECINCT 18,23,18,87,51,138
CITY OF CHICAGO:WARD 23 PRECINCT 19,CITY OF CHICAGO:WARD 23 PRECINCT 19,23,19,51,39,90
CITY OF CHICAGO:WARD 23 PRECINCT 20,CITY OF CHICAGO:WARD 23 PRECINCT 20,23,20,78,33,111
CITY OF CHICAGO:WARD 23 PRECINCT 21,CITY OF CHICAGO:WARD 23 PRECINCT 21,23,21,43,38,81
CITY OF CHICAGO:WARD 23 PRECINCT 22,CITY OF CHICAGO:WARD 23 PRECINCT 22,23,22,67,36,103
CITY OF CHICAGO:WARD 23 PRECINCT 23,CITY OF CHICAGO:WARD 23 PRECINCT 23,23,23,57,33,90
CITY OF CHICAGO:WARD 23 PRECINCT 24,CITY OF CHICAGO:WARD 23 PRECINCT 24,23,24,51,25,76
CITY OF CHICAGO:WARD 23 PRECINCT 25,CITY OF CHICAGO:WARD 23 PRECINCT 25,23,25,35,31,66
CITY OF CHICAGO:WARD 23 PRECINCT 26,CITY OF CHICAGO:WARD 23 PRECINCT 26,23,26,41,21,62
CITY OF CHICAGO:WARD 23 PRECINCT 27,CITY OF CHICAGO:WARD 23 PRECINCT 27,23,27,49,31,80
CITY OF CHICAGO:WARD 23 PRECINCT 28,CITY OF CHICAGO:WARD 23 PRECINCT 28,23,28,79,32,111
CITY OF CHICAGO:WARD 23 PRECINCT 29,CITY OF CHICAGO:WARD 23 PRECINCT 29,23,29,93,61,154
CITY OF CHICAGO:WARD 23 PRECINCT 30,CITY OF CHICAGO:WARD 23 PRECINCT 30,23,30,61,51,112
CITY OF CHICAGO:WARD 23 PRECINCT 31,CITY OF CHICAGO:WARD 23 PRECINCT 31,23,31,79,36,115
CITY OF CHICAGO:WARD 23 PRECINCT 32,CITY OF CHICAGO:WARD 23 PRECINCT 32,23,32,49,39,88
CITY OF CHICAGO:WARD 23 PRECINCT 33,CITY OF CHICAGO:WARD 23 PRECINCT 33,23,33,146,89,235
CITY OF CHICAGO:WARD 24 PRECINCT 01,CITY OF CHICAGO:WARD 24 PRECINCT 01,24,1,128,35,163
CITY OF CHICAGO:WARD 24 PRECINCT 02,CITY OF CHICAGO:WARD 24 PRECINCT 02,24,2,102,24,126
CITY OF CHICAGO:WARD 24 PRECINCT 03,CITY OF CHICAGO:WARD 24 PRECINCT 03,24,3,185,50,235
CITY OF CHICAGO:WARD 24 PRECINCT 04,CITY OF CHICAGO:WARD 24 PRECINCT 04,24,4,149,35,184
CITY OF CHICAGO:WARD 24 PRECINCT 05,CITY OF CHICAGO:WARD 24 PRECINCT 05,24,5,344,79,423
CITY OF CHICAGO:WARD 24 PRECINCT 06,CITY OF CHICAGO:WARD 24 PRECINCT 06,24,6,188,43,231
CITY OF CHICAGO:WARD 24 PRECINCT 07,CITY OF CHICAGO:WARD 24 PRECINCT 07,24,7,91,24,115
CITY OF CHICAGO:WARD 24 PRECINCT 08,CITY OF CHICAGO:WARD 24 PRECINCT 08,24,8,117,33,150
CITY OF CHICAGO:WARD 24 PRECINCT 09,CITY OF CHICAGO:WARD 24 PRECINCT 09,24,9,192,53,245
CITY OF CHICAGO:WARD 24 PRECINCT 10,CITY OF CHICAGO:WARD 24 PRECINCT 10,24,10,120,34,154
CITY OF CHICAGO:WARD 24 PRECINCT 11,CITY OF CHICAGO:WARD 24 PRECINCT 11,24,11,198,45,243
CITY OF CHICAGO:WARD 24 PRECINCT 12,CITY OF CHICAGO:WARD 24 PRECINCT 12,24,12,247,83,330
CITY OF CHICAGO:WARD 24 PRECINCT 13,CITY OF CHICAGO:WARD 24 PRECINCT 13,24,13,185,56,241
CITY OF CHICAGO:WARD 24 PRECINCT 14,CITY OF CHICAGO:WARD 24 PRECINCT 14,24,14,170,45,215
CITY OF CHICAGO:WARD 24 PRECINCT 15,CITY OF CHICAGO:WARD 24 PRECINCT 15,24,15,120,33,153
CITY OF CHICAGO:WARD 24 PRECINCT 16,CITY OF CHICAGO:WARD 24 PRECINCT 16,24,16,68,20,88
CITY OF CHICAGO:WARD 24 PRECINCT 17,CITY OF CHICAGO:WARD 24 PRECINCT 17,24,17,125,43,168
CITY OF CHICAGO:WARD 24 PRECINCT 18,CITY OF CHICAGO:WARD 24 PRECINCT 18,24,18,252,73,325
CITY OF CHICAGO:WARD 24 PRECINCT 19,CITY OF CHICAGO:WARD 24 PRECINCT 19,24,19,228,203,431
CITY OF CHICAGO:WARD 24 PRECINCT 20,CITY OF CHICAGO:WARD 24 PRECINCT 20,24,20,194,52,246
CITY OF CHICAGO:WARD 25 PRECINCT 01,CITY OF CHICAGO:WARD 25 PRECINCT 01,25,1,119,58,177
CITY OF CHICAGO:WARD 25 PRECINCT 02,CITY OF CHICAGO:WARD 25 PRECINCT 02,25,2,82,55,137
CITY OF CHICAGO:WARD 25 PRECINCT 03,CITY OF CHICAGO:WARD 25 PRECINCT 03,25,3,162,58,220
CITY OF CHICAGO:WARD 25 PRECINCT 04,CITY OF CHICAGO:WARD 25 PRECINCT 04,25,4,134,52,186
CITY OF CHICAGO:WARD 25 PRECINCT 05,CITY OF CHICAGO:WARD 25 PRECINCT 05,25,5,280,76,356
CITY OF CHICAGO:WARD 25 PRECINCT 06,CITY OF CHICAGO:WARD 25 PRECINCT 06,25,6,226,71,297
CITY OF CHICAGO:WARD 25 PRECINCT 07,CITY OF CHICAGO:WARD 25 PRECINCT 07,25,7,249,56,305
CITY OF CHICAGO:WARD 25 PRECINCT 08,CITY OF CHICAGO:WARD 25 PRECINCT 08,25,8,226,95,321
CITY OF CHICAGO:WARD 25 PRECINCT 09,CITY OF CHICAGO:WARD 25 PRECINCT 09,25,9,279,76,355
CITY OF CHICAGO:WARD 25 PRECINCT 10,CITY OF CHICAGO:WARD 25 PRECINCT 10,25,10,335,95,430
CITY OF CHICAGO:WARD 25 PRECINCT 11,CITY OF CHICAGO:WARD 25 PRECINCT 11,25,11,228,42,270
CITY OF CHICAGO:WARD 25 PRECINCT 12,CITY OF CHICAGO:WARD 25 PRECINCT 12,25,12,232,70,302
CITY OF CHICAGO:WARD 25 PRECINCT 13,CITY OF CHICAGO:WARD 25 PRECINCT 13,25,13,300,95,395
CITY OF CHICAGO:WARD 25 PRECINCT 14,CITY OF CHICAGO:WARD 25 PRECINCT 14,25,14,387,100,487
CITY OF CHICAGO:WARD 25 PRECINCT 15,CITY OF CHICAGO:WARD 25 PRECINCT 15,25,15,191,77,268
CITY OF CHICAGO:WARD 25 PRECINCT 16,CITY OF CHICAGO:WARD 25 PRECINCT 16,25,16,290,83,373
CITY OF CHICAGO:WARD 25 PRECINCT 17,CITY OF CHICAGO:WARD 25 PRECINCT 17,25,17,139,32,171
CITY OF CHICAGO:WARD 26 PRECINCT 01,CITY OF CHICAGO:WARD 26 PRECINCT 01,26,1,68,39,107
CITY OF CHICAGO:WARD 26 PRECINCT 02,CITY OF CHICAGO:WARD 26 PRECINCT 02,26,2,137,38,175
CITY OF CHICAGO:WARD 26 PRECINCT 03,CITY OF CHICAGO:WARD 26 PRECINCT 03,26,3,256,51,307
CITY OF CHICAGO:WARD 26 PRECINCT 04,CITY OF CHICAGO:WARD 26 PRECINCT 04,26,4,96,32,128
CITY OF CHICAGO:WARD 26 PRECINCT 05,CITY OF CHICAGO:WARD 26 PRECINCT 05,26,5,154,42,196
CITY OF CHICAGO:WARD 26 PRECINCT 06,CITY OF CHICAGO:WARD 26 PRECINCT 06,26,6,101,27,128
CITY OF CHICAGO:WARD 26 PRECINCT 07,CITY OF CHICAGO:WARD 26 PRECINCT 07,26,7,192,29,221
CITY OF CHICAGO:WARD 26 PRECINCT 08,CITY OF CHICAGO:WARD 26 PRECINCT 08,26,8,113,43,156
CITY OF CHICAGO:WARD 26 PRECINCT 09,CITY OF CHICAGO:WARD 26 PRECINCT 09,26,9,131,31,162
CITY OF CHICAGO:WARD 26 PRECINCT 10,CITY OF CHICAGO:WARD 26 PRECINCT 10,26,10,150,28,178
CITY OF CHICAGO:WARD 26 PRECINCT 11,CITY OF CHICAGO:WARD 26 PRECINCT 11,26,11,119,21,140
CITY OF CHICAGO:WARD 26 PRECINCT 12,CITY OF CHICAGO:WARD 26 PRECINCT 12,26,12,60,20,80
CITY OF CHICAGO:WARD 26 PRECINCT 13,CITY OF CHICAGO:WARD 26 PRECINCT 13,26,13,113,16,129
CITY OF CHICAGO:WARD 26 PRECINCT 14,CITY OF CHICAGO:WARD 26 PRECINCT 14,26,14,71,30,101
CITY OF CHICAGO:WARD 26 PRECINCT 15,CITY OF CHICAGO:WARD 26 PRECINCT 15,26,15,90,28,118
CITY OF CHICAGO:WARD 26 PRECINCT 16,CITY OF CHICAGO:WARD 26 PRECINCT 16,26,16,245,44,289
CITY OF CHICAGO:WARD 26 PRECINCT 17,CITY OF CHICAGO:WARD 26 PRECINCT 17,26,17,192,43,235
CITY OF CHICAGO:WARD 26 PRECINCT 18,CITY OF CHICAGO:WARD 26 PRECINCT 18,26,18,59,31,90
CITY OF CHICAGO:WARD 26 PRECINCT 19,CITY OF CHICAGO:WARD 26 PRECINCT 19,26,19,277,49,326
CITY OF CHICAGO:WARD 26 PRECINCT 20,CITY OF CHICAGO:WARD 26 PRECINCT 20,26,20,270,50,320
CITY OF CHICAGO:WARD 26 PRECINCT 21,CITY OF CHICAGO:WARD 26 PRECINCT 21,26,21,92,23,115
CITY OF CHICAGO:WARD 26 PRECINCT 22,CITY OF CHICAGO:WARD 26 PRECINCT 22,26,22,89,28,117
CITY OF CHICAGO:WARD 26 PRECINCT 23,CITY OF CHICAGO:WARD 26 PRECINCT 23,26,23,190,39,229
CITY OF CHICAGO:WARD 26 PRECINCT 24,CITY OF CHICAGO:WARD 26 PRECINCT 24,26,24,81,13,94
CITY OF CHICAGO:WARD 26 PRECINCT 25,CITY OF CHICAGO:WARD 26 PRECINCT 25,26,25,234,39,273
CITY OF CHICAGO:WARD 26 PRECINCT 26,CITY OF CHICAGO:WARD 26 PRECINCT 26,26,26,252,31,283
CITY OF CHICAGO:WARD 26 PRECINCT 27,CITY OF CHICAGO:WARD 26 PRECINCT 27,26,27,248,51,299
CITY OF CHICAGO:WARD 26 PRECINCT 28,CITY OF CHICAGO:WARD 26 PRECINCT 28,26,28,242,50,292
CITY OF CHICAGO:WARD 26 PRECINCT 29,CITY OF CHICAGO:WARD 26 PRECINCT 29,26,29,246,51,297
CITY OF CHICAGO:WARD 26 PRECINCT 30,CITY OF CHICAGO:WARD 26 PRECINCT 30,26,30,116,32,148
CITY OF CHICAGO:WARD 26 PRECINCT 31,CITY OF CHICAGO:WARD 26 PRECINCT 31,26,31,106,38,144
CITY OF CHICAGO:WARD 26 PRECINCT 32,CITY OF CHICAGO:WARD 26 PRECINCT 32,26,32,177,48,225
CITY OF CHICAGO:WARD 27 PRECINCT 01,CITY OF CHICAGO:WARD 27 PRECINCT 01,27,1,178,81,259
CITY OF CHICAGO:WARD 27 PRECINCT 02,CITY OF CHICAGO:WARD 27 PRECINCT 02,27,2,203,108,311
CITY OF CHICAGO:WARD 27 PRECINCT 03,CITY OF CHICAGO:WARD 27 PRECINCT 03,27,3,163,37,200
CITY OF CHICAGO:WARD 27 PRECINCT 04,CITY OF CHICAGO:WARD 27 PRECINCT 04,27,4,210,61,271
CITY OF CHICAGO:WARD 27 PRECINCT 05,CITY OF CHICAGO:WARD 27 PRECINCT 05,27,5,132,29,161
CITY OF CHICAGO:WARD 27 PRECINCT 06,CITY OF CHICAGO:WARD 27 PRECINCT 06,27,6,238,132,370
CITY OF CHICAGO:WARD 27 PRECINCT 07,CITY OF CHICAGO:WARD 27 PRECINCT 07,27,7,338,133,471
CITY OF CHICAGO:WARD 27 PRECINCT 08,CITY OF CHICAGO:WARD 27 PRECINCT 08,27,8,100,18,118
CITY OF CHICAGO:WARD 27 PRECINCT 09,CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,272,94,366
CITY OF CHICAGO:WARD 27 PRECINCT 10,CITY OF CHICAGO:WARD 27 PRECINCT 10,27,10,194,41,235
CITY OF CHICAGO:WARD 27 PRECINCT 11,CITY OF CHICAGO:WARD 27 PRECINCT 11,27,11,145,90,235
CITY OF CHICAGO:WARD 27 PRECINCT 12,CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,163,67,230
CITY OF CHICAGO:WARD 27 PRECINCT 13,CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,234,62,296
CITY OF CHICAGO:WARD 27 PRECINCT 14,CITY OF CHICAGO:WARD 27 PRECINCT 14,27,14,162,40,202
CITY OF CHICAGO:WARD 27 PRECINCT 15,CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,185,67,252
CITY OF CHICAGO:WARD 27 PRECINCT 16,CITY OF CHICAGO:WARD 27 PRECINCT 16,27,16,249,98,347
CITY OF CHICAGO:WARD 27 PRECINCT 17,CITY OF CHICAGO:WARD 27 PRECINCT 17,27,17,144,34,178
CITY OF CHICAGO:WARD 27 PRECINCT 18,CITY OF CHICAGO:WARD 27 PRECINCT 18,27,18,293,80,373
CITY OF CHICAGO:WARD 27 PRECINCT 19,CITY OF CHICAGO:WARD 27 PRECINCT 19,27,19,87,22,109
CITY OF CHICAGO:WARD 27 PRECINCT 20,CITY OF CHICAGO:WARD 27 PRECINCT 20,27,20,132,41,173
CITY OF CHICAGO:WARD 27 PRECINCT 21,CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,76,34,110
CITY OF CHICAGO:WARD 27 PRECINCT 22,CITY OF CHICAGO:WARD 27 PRECINCT 22,27,22,154,45,199
CITY OF CHICAGO:WARD 27 PRECINCT 23,CITY OF CHICAGO:WARD 27 PRECINCT 23,27,23,161,35,196
CITY OF CHICAGO:WARD 27 PRECINCT 24,CITY OF CHICAGO:WARD 27 PRECINCT 24,27,24,85,22,107
CITY OF CHICAGO:WARD 27 PRECINCT 25,CITY OF CHICAGO:WARD 27 PRECINCT 25,27,25,209,52,261
CITY OF CHICAGO:WARD 27 PRECINCT 26,CITY OF CHICAGO:WARD 27 PRECINCT 26,27,26,226,47,273
CITY OF CHICAGO:WARD 27 PRECINCT 27,CITY OF CHICAGO:WARD 27 PRECINCT 27,27,27,138,47,185
CITY OF CHICAGO:WARD 27 PRECINCT 28,CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,105,42,147
CITY OF CHICAGO:WARD 27 PRECINCT 29,CITY OF CHICAGO:WARD 27 PRECINCT 29,27,29,271,89,360
CITY OF CHICAGO:WARD 28 PRECINCT 01,CITY OF CHICAGO:WARD 28 PRECINCT 01,28,1,115,27,142
CITY OF CHICAGO:WARD 28 PRECINCT 02,CITY OF CHICAGO:WARD 28 PRECINCT 02,28,2,122,25,147
CITY OF CHICAGO:WARD 28 PRECINCT 03,CITY OF CHICAGO:WARD 28 PRECINCT 03,28,3,33,10,43
CITY OF CHICAGO:WARD 28 PRECINCT 04,CITY OF CHICAGO:WARD 28 PRECINCT 04,28,4,94,26,120
CITY OF CHICAGO:WARD 28 PRECINCT 05,CITY OF CHICAGO:WARD 28 PRECINCT 05,28,5,127,44,171
CITY OF CHICAGO:WARD 28 PRECINCT 06,CITY OF CHICAGO:WARD 28 PRECINCT 06,28,6,185,37,222
CITY OF CHICAGO:WARD 28 PRECINCT 07,CITY OF CHICAGO:WARD 28 PRECINCT 07,28,7,110,21,131
CITY OF CHICAGO:WARD 28 PRECINCT 08,CITY OF CHICAGO:WARD 28 PRECINCT 08,28,8,195,45,240
CITY OF CHICAGO:WARD 28 PRECINCT 09,CITY OF CHICAGO:WARD 28 PRECINCT 09,28,9,95,28,123
CITY OF CHICAGO:WARD 28 PRECINCT 10,CITY OF CHICAGO:WARD 28 PRECINCT 10,28,10,60,20,80
CITY OF CHICAGO:WARD 28 PRECINCT 11,CITY OF CHICAGO:WARD 28 PRECINCT 11,28,11,247,72,319
CITY OF CHICAGO:WARD 28 PRECINCT 12,CITY OF CHICAGO:WARD 28 PRECINCT 12,28,12,348,125,473
CITY OF CHICAGO:WARD 28 PRECINCT 13,CITY OF CHICAGO:WARD 28 PRECINCT 13,28,13,197,91,288
CITY OF CHICAGO:WARD 28 PRECINCT 14,CITY OF CHICAGO:WARD 28 PRECINCT 14,28,14,207,68,275
CITY OF CHICAGO:WARD 28 PRECINCT 15,CITY OF CHICAGO:WARD 28 PRECINCT 15,28,15,102,34,136
CITY OF CHICAGO:WARD 28 PRECINCT 16,CITY OF CHICAGO:WARD 28 PRECINCT 16,28,16,236,73,309
CITY OF CHICAGO:WARD 28 PRECINCT 17,CITY OF CHICAGO:WARD 28 PRECINCT 17,28,17,139,36,175
CITY OF CHICAGO:WARD 28 PRECINCT 18,CITY OF CHICAGO:WARD 28 PRECINCT 18,28,18,153,38,191
CITY OF CHICAGO:WARD 28 PRECINCT 19,CITY OF CHICAGO:WARD 28 PRECINCT 19,28,19,133,41,174
CITY OF CHICAGO:WARD 28 PRECINCT 20,CITY OF CHICAGO:WARD 28 PRECINCT 20,28,20,128,32,160
CITY OF CHICAGO:WARD 28 PRECINCT 21,CITY OF CHICAGO:WARD 28 PRECINCT 21,28,21,120,35,155
CITY OF CHICAGO:WARD 28 PRECINCT 22,CITY OF CHICAGO:WARD 28 PRECINCT 22,28,22,106,26,132
CITY OF CHICAGO:WARD 28 PRECINCT 23,CITY OF CHICAGO:WARD 28 PRECINCT 23,28,23,166,38,204
CITY OF CHICAGO:WARD 28 PRECINCT 24,CITY OF CHICAGO:WARD 28 PRECINCT 24,28,24,99,31,130
